name,directedby,releasedyear,genre,runningtimeinminutes
Avatar,James Cameron,2009,epic sciene fiction,161
Ice Age: Dawn of the Dinosaurs,"Carlos Saldnha, Mike Thurmeier",2009,3D computer-animated comedy adventure,94
Transformers: Revenge of the Fallen,Michael Bay,2009,science fiction action,150
Up,Pete Docter,2009,computer animated comedy adventure,96
The Twilight Saga: New Moon,Chris Weitz,2009,romantic fantasy ,130
The Hangover,Todd Phillips,2009,comedy,100
Alice in Wonderland,Tim Burton,2010,fantasy,108
Inception,Christopher Nolan,2010,science fiction heist thriller,148
Tangled,"Nathan Greno, Byron Howard",2010,3D computer-animated musical fantasy-comedy,100
How to Train Your Dragon,"Chris Sanders, Dean Deblois",2010,3D computer-animated action-fantasy,98
Shrek Forever After,Mike Mitchell,2010,3D computer-animated fantasy comedy,93
The Smurfs,Raja Gosnell,2011,3D conputer-animated comedy,103
The Hangover Part II,Todd Phillips,2011,comedy,102
Transformers: Dark of the Moon,Michael Bay,2011,science fiction action,154
The Twilight Saga: Breaking Dawn - Part 1,Bill Condon,2011,romantic fantasy ,117
The Avengers,Joss Whedon,2012,superhero,143
The Hobbit: An Unexpected Journey,Peter Jackson,2012,epic fantasy adventure ,169
Ice Age: Continental Drift,"Steve Martino, Mike Thurmeier",2012,3D computer-animated comedy adventure,88
The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,2012,romantic fantasy ,115
The Amazing Spider-Man,Marc Webb,2012,superhero,136
Frozen,"Chris Buck, Jennifer Lee",2013,3D computer-animated musical fantasy,102
The Hobbit: The Desolation of Smaug,Peter Jackson,2013,epic fantasy adventure ,161
Monsters University,Dan Scanlon,2013,3D computer-animated comedy,104
Gravity,Alfonso Cuaron,2013,sciene fiction thriller,91
Transformers: Age of Extinction,Michael Bay,2014,3D science fiction action,165
The Hobbit: The Battle of the Five Armies,Peter Jackson,2014,epic fantasy adventure ,144
The Amazing Spider-Man 2,Marc Webb,2014,superhero,142
Dawn of the Planet of the Apes,Matt Reeves,2014,science fiction,130
Avengers: Age of Ultron,Joss Whedon,2015,superhero,141
Jurassic World,Colin Trevorrow,2015,science fiction,124
